City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
198,Peniche,PT,53.92,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
199,Hualmay,PE,70.63,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
200,Atambua,ID,83.01,clear sky,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
203,Lebu,CL,56.03,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
204,Garowe,SO,68.09,broken clouds,8.4054,48.4845,Curubo Hotel
206,Buala,SB,79.54,light rain,-8.145,159.5921,Maringe Lagoon Lodge
209,Boende,CD,71.33,overcast clouds,-0.2167,20.8667,
211,Isangel,VU,89.71,few clouds,-19.55,169.2667,Tanna Lodge
215,Mponela,MW,66.29,light rain,-13.5319,33.7401,Ram's Executive Lodge
216,New Norfolk,AU,71.65,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
220,Lethem,GY,76.06,scattered clouds,3.3803,-59.7968,Savannah Inn
221,Mabaruma,GY,70.0,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
222,Half Moon Bay,US,63.63,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
224,Bubaque,GW,77.94,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
225,Saldanha,ZA,64.44,clear sky,-33.0117,17.9442,Blue Bay Lodge
227,Taperoa,BR,70.9,scattered clouds,-7.2075,-36.8267,Hotel Casarão Antigo
229,Lagoa,PT,56.37,broken clouds,39.05,-27.9833,Casa Das Faias
230,Farafangana,MG,77.59,few clouds,-22.8167,47.8333,Miarina
231,Bredasdorp,ZA,67.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
232,Tual,ID,81.09,broken clouds,-5.6667,132.75,Grand Vilia Hotel
234,Mattru,SL,72.57,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
235,Almeirim,BR,73.17,broken clouds,-1.5233,-52.5817,Ricácio Hotel
236,Lata,PT,53.82,scattered clouds,40.1629,-8.3327,Casa Maquia
237,Nuevo Progreso,MX,54.59,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
238,Aswan,EG,56.59,clear sky,24.0934,32.907,Nuba Nile
240,Namibe,AO,72.79,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
242,Xuddur,SO,71.02,overcast clouds,4.1213,43.8894,Banjanay Hotel
244,Ha Giang,VN,68.95,broken clouds,22.8333,104.9833,Truong Xuan Resort
245,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
247,Kanbe,MM,86.05,scattered clouds,16.7053,96.0017,CBT Mingalar Bar Bio Garden
248,Makokou,GA,69.19,overcast clouds,0.5738,12.8642,Hôtel
249,Morondava,MG,80.44,light rain,-20.2833,44.2833,La Case Bambou
250,Kaitangata,NZ,61.93,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
253,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
254,Weligama,LK,83.16,broken clouds,5.9667,80.4167,Weligama Bay Resort
255,Surt,LY,53.17,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
256,Menongue,AO,62.55,light rain,-14.6585,17.691,Ritz Lauca
259,Ancud,CL,55.42,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
261,Yeppoon,AU,87.58,scattered clouds,-23.1333,150.7333,Villa Mar Colina
262,Joshimath,IN,54.73,clear sky,30.5667,79.5667,Shivalik Camps & Resort
263,Acarau,BR,78.06,scattered clouds,-2.8856,-40.12,castelo pizzaria
264,Auki,SB,78.75,overcast clouds,-8.7676,160.7034,Auki Motel
266,Warrnambool,AU,76.8,broken clouds,-38.3833,142.4833,Lady Bay Resort
270,Faya,SA,50.52,clear sky,18.3851,42.4509,املاك خالد الشعشوع
272,Ukiah,US,62.02,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
275,Ambilobe,MG,78.28,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
276,Atar,MR,63.32,overcast clouds,20.5169,-13.0499,Oumou Elghoura
277,Saint George,US,56.53,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
279,Bail Hongal,IN,76.24,few clouds,15.8167,74.8667,Sangam residency (Lodge)
280,Cayenne,GF,78.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
281,Acapulco,MX,78.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
282,Lungi,SL,71.55,scattered clouds,9.2212,-12.6831,Lungi Airport Lodge
284,Ahipara,NZ,69.78,clear sky,-35.1667,173.1667,Ahipara Holiday Park
286,Umm Lajj,SA,67.08,clear sky,25.0213,37.2685,Moon light Furnished Units
287,Biak,ID,82.6,broken clouds,-0.9131,122.8766,Penginapan Kim
288,Honiara,SB,81.34,overcast clouds,-9.4333,159.95,Heritage Park Hotel
290,Ouargaye,BF,73.85,clear sky,11.5033,0.0572,Résidence le Cotonnier
291,Coihaique,CL,55.35,overcast clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
292,Bambui,BR,65.46,few clouds,-20.0064,-45.9769,Paulinelli Palace Hotel
293,Hobyo,SO,78.49,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
294,Yambio,SS,73.76,broken clouds,4.5721,28.3955,Naivasha Hotel
296,Hongjiang,CN,54.75,scattered clouds,27.11,109.9956,洪江大酒店
299,Maragogi,BR,78.35,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
301,Blythe,US,55.85,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
304,Mongagua,BR,77.94,clear sky,-24.0931,-46.6208,Hostel Aloha Brasil
306,Valparaiso,CL,66.47,clear sky,-33.0393,-71.6273,Hotel Ultramar
311,Hoi An,VN,73.36,overcast clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
314,Pandamatenga,BW,65.77,clear sky,-18.5278,25.627,Wildtrack Safaris Eco Lodge
315,Sibolga,ID,86.45,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
317,Maxixe,MZ,78.62,few clouds,-23.8597,35.3472,Oceano
319,Lompoc,US,61.57,fog,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
322,Poum,NC,82.65,overcast clouds,-20.2333,164.0167,
323,Port-Gentil,GA,80.65,overcast clouds,-0.7193,8.7815,Fengshui Residence
326,Mount Gambier,AU,74.16,clear sky,-37.8333,140.7667,The Commodore
327,Soyo,AO,78.21,light rain,-6.1349,12.3689,Hotel Mpampa
330,Inhambane,MZ,78.78,few clouds,-23.865,35.3833,Oceano
333,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
335,Rawson,AR,62.64,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
336,Tel Aviv-Yafo,IL,56.7,broken clouds,32.0805,34.7805,Ben Yehuda apartments
337,Fatehabad,IN,66.78,clear sky,29.5167,75.45,Duke Hotel & Restaurant
338,Sao Gabriel Da Cachoeira,BR,72.25,heavy intensity rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
340,Sur,OM,71.51,clear sky,22.5667,59.5289,Sur Plaza Hotel
341,Tecoanapa,MX,77.77,scattered clouds,16.5167,-98.75,Hotel Manglares
350,Euclides Da Cunha,BR,68.92,overcast clouds,-10.5075,-39.0158,Hotel e Posto Bastos
352,Road Town,VG,73.99,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
355,Kuala Terengganu,MY,82.18,broken clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
358,Kavieng,PG,83.62,light rain,-2.5744,150.7967,Nusa Island Retreat
360,Rio Grande,BR,59.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
361,Benjamin Constant,BR,73.53,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
365,Puri,IN,77.52,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
369,Mackay,AU,81.68,light rain,-21.15,149.2,International Lodge Motel
370,Los Llanos De Aridane,ES,58.75,broken clouds,28.6585,-17.9182,Valle Aridane
371,Tchibanga,GA,71.65,overcast clouds,-2.85,11.0333,
372,Bagotville,AU,73.29,scattered clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
378,Senador Jose Porfirio,BR,73.38,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
383,Barkhan,PK,58.6,broken clouds,29.8977,69.5256,
387,Saint-Paul,RE,87.89,clear sky,-21.0096,55.2707,Boucan Canot
388,Saurimo,AO,63.61,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
392,Rocha,UY,57.67,few clouds,-34.4833,-54.3333,Hotel Arrarte
393,Corn Island,NI,80.49,few clouds,12.1694,-83.0418,Big Fish Guest House
395,Biltine,TD,68.56,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
398,Lagos,NG,76.98,clear sky,6.5833,3.75,
401,Yaan,NG,74.05,overcast clouds,7.3833,8.5667,
403,Itarema,BR,78.12,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
404,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
405,Naze,JP,54.52,overcast clouds,28.3667,129.4833,Shishime Hotel
406,Taltal,CL,66.92,clear sky,-25.4,-70.4833,Residencial Karime
409,Pacific Grove,US,61.3,mist,36.6177,-121.9166,Lovers Point Inn
410,Kruisfontein,ZA,64.2,light rain,-34.0033,24.7314,Oyster Bay House Rental
411,Saint-Pierre,RE,87.44,clear sky,-21.3393,55.4781,Lindsey Hôtel
412,Marihatag,PH,82.78,few clouds,8.7936,126.2969,Mariner's Place & Resort
413,Cockburn Town,TC,77.59,clear sky,21.4612,-71.1419,Osprey Beach Hotel
414,Flinders,AU,87.8,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
416,Kalmunai,LK,81.7,broken clouds,7.4167,81.8167,VS Villa
419,Cabo San Lucas,MX,68.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
423,Barstow,US,58.55,clear sky,34.8986,-117.0228,"Motel 6 Barstow, CA"
425,Sao Jose Da Coroa Grande,BR,78.71,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
427,Saint-Francois,FR,50.41,broken clouds,46.4154,3.9054,Manoir Du Bonheur
428,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
429,Banda Aceh,ID,85.59,overcast clouds,5.5577,95.3222,Sulthan Hotel International
430,Guiglo,CI,69.66,scattered clouds,6.5456,-7.4966,Hotel GBAOLY 2
432,Luba,GQ,80.06,overcast clouds,3.4568,8.5547,
433,Gisborne,NZ,60.94,scattered clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
435,Kiunga,PG,88.48,scattered clouds,-6.1219,141.2906,Airport Lodge Kiunga
437,Margherita,IN,71.08,clear sky,27.2833,95.6833,Dehing Guest House
438,Sechelt,CA,50.05,overcast clouds,49.4664,-123.7694,The Driftwood Inn
440,Linden,GY,75.34,overcast clouds,6.0,-58.3,Crimson Bat Hotel
441,Pekan,MY,78.91,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
448,Tamandare,BR,78.57,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
449,Sembakung,ID,85.93,overcast clouds,3.8167,117.25,
451,Lingao,CN,63.09,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
452,Morros,BR,71.22,light rain,-9.4467,-46.3003,
453,Kharod,IN,74.05,clear sky,21.75,82.5667,STARiHOTELS Sheorinarayan
454,Dunedin,NZ,60.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
458,Kerema,PG,83.93,light rain,-7.9631,145.7785,Frena Lodge
461,Guerrero Negro,MX,66.0,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
462,Samarai,PG,83.62,overcast clouds,-10.6167,150.6667,Nuli Sapi
463,Yarim,YE,52.66,clear sky,14.298,44.3779,وليد المسوري ابو اسد
464,Hirara,JP,66.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
466,Talcahuano,CL,60.48,overcast clouds,-36.7167,-73.1167,departamento comodo
469,Mapiri,BO,65.39,overcast clouds,-15.25,-68.1667,
470,Longonjo,AO,58.26,broken clouds,-12.9067,15.2533,
473,Sechura,PE,73.44,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
474,Ayabe,JP,51.26,scattered clouds,35.3,135.25,R Inn Ayabe
475,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
477,Nouakchott,MR,66.13,overcast clouds,18.0858,-15.9785,HOTEL IMAN
478,Rabo De Peixe,PT,56.28,broken clouds,37.8,-25.5833,Quinta das Giestas
483,San Cristobal,VE,69.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
484,General Pico,AR,59.58,clear sky,-35.6566,-63.7568,Euskadi Hotel
489,Bell Ville,AR,61.36,clear sky,-32.6259,-62.6887,Hotel Central
491,Souillac,MU,84.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
492,Puerto Narino,CO,73.35,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
495,Arlit,NE,61.63,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
496,Bukama,CD,67.44,moderate rain,-9.2,25.85,
499,Alexandria,EG,56.48,few clouds,31.2156,29.9553,Royal Crown Hotel
500,Padang,ID,87.85,scattered clouds,-0.9492,100.3543,Mercure Padang
501,San Carlos De Bariloche,AR,64.15,clear sky,-41.1456,-71.3082,Hotel Patagonia
503,Maamba,ZM,69.78,few clouds,-17.3667,27.15,
505,Petauke,ZM,65.14,light rain,-14.2426,31.3253,Kwamwanja Wanthu
506,Buchanan,LR,78.76,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
507,Burnie,AU,73.94,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
509,Manokwari,ID,81.81,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
513,Maumere,ID,83.61,scattered clouds,-8.6199,122.2111,Sylvia Hotel
514,Keti Bandar,PK,71.73,clear sky,24.1447,67.4497,Haji laloo memon house
515,Mulege,MX,65.48,clear sky,26.8833,-111.9833,Casa Granada
516,Nishihara,JP,64.06,broken clouds,26.1842,127.7558,Minshuku Agaihama
517,Sabang,ID,82.47,broken clouds,5.8933,95.3214,Hotel Citra
518,Marugame,JP,54.82,scattered clouds,34.2833,133.7833,Marugame Plaza Hotel
521,Saint-Louis,SN,67.8,overcast clouds,16.3333,-15.0,
522,Valera,VE,70.09,few clouds,9.3178,-70.6036,Hotel Camino Real
523,Bathurst,AU,81.97,broken clouds,-33.4166,149.5806,Bathurst Motor Inn
524,Port Moresby,PG,83.62,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
525,Tura,IN,73.36,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
527,Viedma,AR,76.6,clear sky,-40.8135,-62.9967,Hotel Cristal
530,Durazno,UY,59.0,clear sky,-33.4131,-56.5006,Hotel Santa Cristina
532,Pangkalanbuun,ID,88.27,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
533,Boa Vista,BR,78.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
536,Tessalit,ML,56.57,scattered clouds,20.1986,1.0114,
538,Male,MV,82.27,broken clouds,4.1748,73.5089,Hotel Octave Maldives
539,San Quintin,MX,64.11,clear sky,30.4833,-115.95,Don Eddie's Landing
543,Martil,MA,58.96,broken clouds,35.6166,-5.2752,فندق مرتيل
544,Veraval,IN,73.09,clear sky,20.9,70.3667,Lords Inn Somnath
549,Arona,ES,55.92,few clouds,28.0996,-16.681,Paradise Court
552,Sambava,MG,76.87,few clouds,-14.2667,50.1667,Melrose
553,Bozdar,PK,64.47,clear sky,27.1828,68.636,Hadi Hassan Shah Stop
555,Grenfell,AU,87.51,overcast clouds,-33.9,148.1667,Grenfell Royal Hotel
558,Kushima,JP,58.51,overcast clouds,31.4583,131.2333,Hanaoka
562,Abu Kamal,SY,51.24,clear sky,34.4506,40.9171,محطة التلفاز
563,Kudahuvadhoo,MV,81.57,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
565,Merauke,ID,83.73,broken clouds,-8.4667,140.3333,
566,Fiche,ET,54.0,overcast clouds,9.8,38.7333,Feezone hotel
570,Nioro,GM,69.12,scattered clouds,13.35,-15.75,
574,Hanmer Springs,NZ,61.81,few clouds,-42.5167,172.8167,The Chalets Motel
576,Santo Antonio Do Ica,BR,72.34,light rain,-3.1022,-67.9397,HOTEL AMAZON WAY
578,Waingapu,ID,85.86,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
579,Port Macquarie,AU,76.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
580,Kawanoe,JP,55.47,scattered clouds,34.0167,133.5667,Hotel Livemax Iyo Mishima
581,Kumluca,TR,53.67,clear sky,36.3703,30.2869,TurkuazKöy
582,Byron Bay,AU,73.36,light rain,-28.65,153.6167,Backpackers Inn
583,Cururupu,BR,74.8,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
584,Cabedelo,BR,81.27,clear sky,-6.9811,-34.8339,Hotel Pigalle
585,Pocone,BR,74.07,light rain,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
586,Kavaratti,IN,81.09,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
587,Puerto Leguizamo,CO,73.0,overcast clouds,-0.1934,-74.7819,la casona de juancho
