City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ashqelon,IL,31.6693,34.5715,56.41,65,100,7.07,overcast clouds
80,Andra,RU,62.5147,65.8878,-2.47,96,100,2.39,overcast clouds
81,Ferrol,ES,43.4832,-8.2369,51.57,79,69,21.05,broken clouds
82,Provideniya,RU,64.3833,-173.3,-7.49,71,0,11.18,clear sky
83,Hithadhoo,MV,-0.6,73.0833,82.36,72,79,12.97,broken clouds
84,Yellowknife,CA,62.456,-114.3525,-24.59,91,79,1.99,broken clouds
85,Hofn,IS,64.2539,-15.2082,22.62,68,49,8.99,scattered clouds
86,Antalaha,MG,-14.9003,50.2788,78.42,79,56,3.49,broken clouds
87,Ndele,CF,8.4109,20.6473,66.51,16,90,3.91,overcast clouds
88,Tasiilaq,GL,65.6145,-37.6368,24.96,81,100,26.82,overcast clouds
89,Yuzhno-Kurilsk,RU,44.0306,145.8556,28.81,73,99,9.75,overcast clouds
90,Ilulissat,GL,69.2167,-51.1,3.22,78,75,12.66,light shower snow
91,Noumea,NC,-22.2763,166.4572,88.0,99,100,17.18,overcast clouds
92,Palu,ID,-0.8917,119.8707,81.86,79,99,1.19,overcast clouds
93,Nouadhibou,MR,20.931,-17.0347,65.1,64,100,16.31,overcast clouds
94,Jalu,LY,29.0331,21.5482,50.86,62,0,6.06,clear sky
95,Bluff,NZ,-46.6,168.3333,63.81,66,100,7.36,overcast clouds
96,Mananjary,MG,-21.2167,48.3333,76.93,87,18,2.71,few clouds
97,Lagunas,PE,-5.2269,-75.6753,72.48,99,100,1.88,overcast clouds
98,Nsanje,MW,-16.92,35.262,75.27,94,66,3.11,broken clouds
99,Jiazi,CN,22.8779,116.067,65.41,68,83,13.78,broken clouds
100,Thiruvananthapuram,IN,8.4833,76.9167,87.78,58,20,1.14,few clouds
101,Port Blair,IN,11.6667,92.75,80.64,65,40,10.36,scattered clouds
102,Nago,JP,26.5881,127.9761,64.83,87,100,15.57,overcast clouds
103,Camacha,PT,33.0833,-16.3333,58.42,72,20,6.91,few clouds
104,Las Palmas,ES,28.4204,-14.0131,59.79,77,7,6.91,clear sky
105,Tuktoyaktuk,CA,69.4541,-133.0374,-34.55,100,73,7.65,broken clouds
106,Bend,US,44.0582,-121.3153,54.68,33,0,14.97,clear sky
107,Castro,BR,-24.7911,-50.0119,63.5,91,75,1.25,broken clouds
108,Busselton,AU,-33.65,115.3333,92.05,40,0,0.83,clear sky
109,Georgetown,MY,5.4112,100.3354,87.73,70,20,5.75,few clouds
110,Vao,NC,-22.6667,167.4833,80.26,81,99,15.5,overcast clouds
111,Nanchang,CN,28.6833,115.8833,53.4,59,80,4.38,broken clouds
112,Carnarvon,AU,-24.8667,113.6333,88.61,60,7,10.04,clear sky
113,Gladstone,AU,-23.85,151.25,78.78,83,75,24.16,light rain
114,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.04,92,65,11.99,broken clouds
115,Vila Velha,BR,-20.3297,-40.2925,75.15,95,0,5.75,clear sky
116,Galle,LK,6.0367,80.217,81.5,71,52,2.46,broken clouds
117,Bengkulu,ID,-3.8004,102.2655,84.96,63,72,6.38,broken clouds
118,Were Ilu,ET,10.6,39.4333,52.27,65,66,6.17,broken clouds
119,Williams Lake,CA,52.1415,-122.1445,23.22,81,100,3.15,overcast clouds
120,Odweyne,SO,9.4092,45.064,70.16,32,44,11.7,scattered clouds
121,Bambous Virieux,MU,-20.3428,57.7575,84.22,94,40,12.66,light rain
122,Camocim,BR,-2.9022,-40.8411,75.72,91,17,8.55,few clouds
123,Kurilsk,RU,45.2333,147.8833,28.26,60,82,14.61,broken clouds
124,Rajapur,IN,25.3833,81.15,69.51,32,0,1.45,clear sky
125,Zapolyarnyy,RU,69.4154,30.8136,13.28,95,100,8.1,overcast clouds
126,Chuy,UY,-33.6971,-53.4616,58.37,62,4,9.95,clear sky
127,Meadow Lake,US,34.8014,-106.5436,44.65,32,0,2.15,clear sky
128,Laguna,US,38.421,-121.4238,62.83,72,0,3.44,clear sky
129,Bethel,US,41.3712,-73.414,24.57,63,100,8.05,overcast clouds
130,Lorengau,PG,-2.0226,147.2712,83.61,73,62,3.65,broken clouds
131,Port Hardy,CA,50.6996,-127.4199,46.76,79,100,4.88,overcast clouds
132,Straumen,NO,63.8709,11.2999,31.95,88,100,4.41,overcast clouds
133,Berlevag,NO,70.8578,29.0864,17.6,88,100,15.37,overcast clouds
134,Sao Filipe,CV,14.8961,-24.4956,72.93,67,88,11.7,overcast clouds
135,Hermanus,ZA,-34.4187,19.2345,67.8,77,85,19.17,overcast clouds
136,Gabu,GW,12.2833,-14.2167,66.72,18,1,3.29,clear sky
137,Oktyabrskoye,RU,43.0645,44.7417,23.14,92,45,6.71,scattered clouds
138,Sarkand,KZ,45.41,79.9186,32.58,72,100,1.01,overcast clouds
139,Beloha,MG,-25.1667,45.05,83.17,49,0,8.7,clear sky
140,Conde,BR,-7.2597,-34.9075,80.06,83,75,4.61,broken clouds
141,Belmonte,BR,-15.8631,-38.8828,75.7,89,82,5.88,broken clouds
142,Wattegama,LK,6.7989,81.4808,81.52,59,66,11.48,broken clouds
143,Ziarat,PK,30.3823,67.7282,41.05,36,97,3.91,overcast clouds
144,Airai,TL,-8.9266,125.4092,74.26,59,28,2.26,scattered clouds
145,Matagami,CA,49.7502,-77.6328,-23.37,100,65,2.57,broken clouds
146,East London,ZA,-33.0153,27.9116,68.94,100,100,10.36,mist
147,Esperance,AU,-33.8667,121.9,73.69,58,73,15.01,broken clouds
148,Khatanga,RU,71.9667,102.5,-25.11,100,60,2.84,broken clouds
149,Praya,CV,14.9215,-23.5087,70.34,83,40,20.71,scattered clouds
150,Kovernino,RU,57.1253,43.8142,24.73,93,100,9.64,overcast clouds
151,Marawi,PH,7.9986,124.2928,72.64,53,63,6.89,broken clouds
152,Oum Hadjer,TD,13.2954,19.6966,70.09,13,99,8.43,overcast clouds
153,Upernavik,GL,72.7868,-56.1549,1.58,92,100,17.6,light snow
154,Vila,PT,42.0304,-8.1588,37.33,94,93,4.65,light snow
155,Sergeyevka,KZ,53.88,67.4158,12.02,93,100,7.4,overcast clouds
156,Port Hedland,AU,-20.3167,118.5667,102.25,35,14,10.36,few clouds
157,San Luis De La Paz,MX,21.3,-100.5167,42.62,77,80,6.96,broken clouds
158,Talnakh,RU,69.4865,88.3972,-6.02,71,10,8.57,clear sky
159,Hervey Bay,AU,-25.2986,152.8535,80.04,77,39,20.87,light rain
160,Constitucion,CL,-35.3333,-72.4167,58.21,90,73,0.38,broken clouds
161,Cerrito,CO,6.8432,-72.694,51.19,87,88,1.66,overcast clouds
162,Aripuana,BR,-9.1667,-60.6333,71.2,100,94,0.72,overcast clouds
163,Taguatinga,BR,-12.3857,-46.5711,70.48,95,86,2.57,overcast clouds
